Reg,Faculty,Province,Year,Language,Friends,SameProvince_pct,SameFaculty_pct,SocMember,Societies,SocHours,ComfortScore,Hobbies,Barriers,FriendshipForm,MixerInterest,Silo_Index,data_source,Silo_Label
2024678,Data Science,Punjab,2nd Year,Urdu,8.0,62.5,12.5,Yes,"IEEE, Other",0.5,3.0,"Music, Art, Cooking, Fitness, Other",I already interact with diverse groups — no barrier,Hostel wing / roommate,"Yes, definitely",0.671875,real,Moderate
2024117,Software Engineering,KPK,2nd Year,Pashto,8.0,62.5,87.5,Yes,"Microsoft Club Giki, Other",1.5,4.0,"Football, Hiking, Other","Lack of time, Never thought about it, I already interact with diverse groups — no barrier",Shared classes,Maybe,0.953125,real,High
2023564,Computer Engineering,Punjab,3rd Year,Urdu,4.0,62.5,62.5,Yes,"GDSC (Google Developer Student Club), Microsoft Club Giki, Other",4.0,5.0,"Coding / Programming, Music, Reading, Debating",I already interact with diverse groups — no barrier,Shared classes,Maybe,0.859375,real,High
2024583,Data Science,Punjab,2nd Year,Punjabi,8.0,62.5,12.5,Yes,Science Society,0.5,4.0,Travelling,I already interact with diverse groups — no barrier,Society / club,"Yes, definitely",0.671875,real,Moderate
2024647,Computer Engineering,KPK,2nd Year,Urdu,4.0,37.5,87.5,Yes,Microsoft Club Giki,1.5,5.0,"Skating, Travelling, Fitness",I already interact with diverse groups — no barrier,Hostel wing / roommate,No,0.921875,real,High
2023430,Computer Engineering,Punjab,3rd Year,Urdu,4.0,37.5,12.5,Yes,Other,0.5,5.0,"Reading, Cooking, Other",Never thought about it,Random / organic,Maybe,0.453125,real,Low
2025373,Computer Science (CS),Punjab,1st Year (Freshie),Urdu,4.0,87.5,62.5,Yes,ACM,1.5,1.0,"Gaming, Coding / Programming","Live in different hostel block, No shared classes, Social anxiety",Hostel wing / roommate,"Yes, definitely",0.953125,real,High
2022334,Software Engineering,Punjab,4th Year,Urdu,1.0,12.5,12.5,Yes,Other,4.0,5.0,Art,I already interact with diverse groups — no barrier,Shared classes,No,0.234375,real,Low
2022245,Data Science,Balochistan,4th Year,Other,1.0,37.5,37.5,Yes,LDS,1.5,5.0,"Coding / Programming, Hiking, Reading, Debating, Travelling, Cooking","No shared classes, I already interact with diverse groups — no barrier",Society / club,"Yes, definitely",0.609375,real,Moderate
2025015,Computer Science (CS),Sindh,1st Year (Freshie),Urdu,4.0,12.5,87.5,Yes,"Microsoft Club Giki, Other",1.5,5.0,"Coding / Programming, Music, Fitness, Other",I already interact with diverse groups — no barrier,Random / organic,"Yes, definitely",0.890625,real,Moderate
2022135,Electrical Engineering (EE),KPK,4th Year,Pashto,4.0,12.5,12.5,Yes,Microsoft Club Giki,1.5,5.0,Football,I already interact with diverse groups — no barrier,Society / club,Maybe,0.234375,real,Low
2025168,Computer Science (CS),KPK,1st Year (Freshie),Pashto,1.0,12.5,12.5,Yes,Project Topi,0.5,4.0,Cricket,I already interact with diverse groups — no barrier,Random / organic,"Yes, definitely",0.234375,real,Low
2023463,Other,Balochistan,3rd Year,Other,8.0,12.5,62.5,Yes,Science Society,0.5,4.0,"Football, Music, Travelling, Fitness",I already interact with diverse groups — no barrier,Random / organic,"Yes, definitely",0.671875,real,Moderate
2023633,Computer Science (CS),KPK,3rd Year,Pashto,12.0,12.5,62.5,Yes,Microsoft Club Giki,4.0,5.0,Football,I already interact with diverse groups — no barrier,Hostel wing / roommate,"Yes, definitely",0.671875,real,Moderate
2025839,Computer Science (CS),KPK,1st Year (Freshie),Pashto,4.0,12.5,87.5,Yes,"Project Topi, Other",4.0,4.0,Music,Never thought about it,Shared classes,Maybe,0.890625,real,Moderate
2024001,Computer Science (CS),Punjab,2nd Year,Urdu,1.0,12.5,12.5,Yes,"Project Topi, Microsoft Club Giki",1.5,5.0,"Debating, Art, Cooking, Fitness",I already interact with diverse groups — no barrier,Society / club,"Yes, definitely",0.234375,real,Low
2024677,Data Science,KPK,2nd Year,Urdu,4.0,12.5,37.5,No,Other,0.5,4.0,Other,I already interact with diverse groups — no barrier,Hostel wing / roommate,Maybe,0.453125,real,Low
2024080,Computer Science (CS),Punjab,2nd Year,Punjabi,1.0,12.5,12.5,Yes,"ACM, Science Society, Other",0.5,5.0,"Skating, Music, Hiking, Art",I already interact with diverse groups — no barrier,Society / club,Maybe,0.234375,real,Low
2024162,Data Science,International Student,1st Year (Freshie),Urdu,1.0,12.5,37.5,Yes,"ACM, NAQSH, Microsoft Club Giki, Aisec",0.5,4.0,"Cricket, Music, Art, Fitness",Never thought about it,Shared classes,No,0.453125,real,Low
2023634,Computer Engineering,KPK,3rd Year,Pashto,4.0,12.5,37.5,Yes,Other,0.5,5.0,"Cricket, Music, Hiking, Debating, Cooking",I already interact with diverse groups — no barrier,Society / club,"Yes, definitely",0.453125,real,Low
2024637,Data Science,Punjab,2nd Year,Urdu,4.0,12.5,62.5,Yes,"Project Topi, Team",7.0,5.0,"Gaming, Reading, Travelling, Art, Cooking",Never thought about it,Society / club,"Yes, definitely",0.671875,real,Moderate
2024657,Data Science,Punjab,2nd Year,Urdu,8.0,87.5,87.5,Yes,IEEE,0.5,5.0,"Hiking, Travelling, Cooking, Other",I already interact with diverse groups — no barrier,Hostel wing / roommate,"Yes, definitely",0.984375,real,High
2024673,Data Science,Punjab,2nd Year,Punjabi,4.0,37.5,62.5,Yes,"ACM, NAQSH, Other",0.5,5.0,"Hiking, Reading, Travelling, Art, Cooking, Other",I already interact with diverse groups — no barrier,Shared classes,Maybe,0.765625,real,Moderate
2024691,Software Engineering,KPK,2nd Year,Pashto,12.0,12.5,37.5,Yes,"GDSC (Google Developer Student Club), Microsoft Club Giki",4.0,1.0,"Gaming, Coding / Programming, Music, Travelling, Art, Cooking, Fitness",I already interact with diverse groups — no barrier,Society / club,"Yes, definitely",0.453125,real,Low
2024672,Data Science,Punjab,2nd Year,Urdu,4.0,62.5,37.5,Yes,"Project Topi, Team",7.0,3.0,"Gaming, Reading, Travelling, Art","Lack of time, Never thought about it",Society / club,"Yes, definitely",0.765625,real,Moderate
2024514,Software Engineering,Punjab,2nd Year,Punjabi,4.0,37.5,37.5,No,"ACM, Other",0.5,3.0,"Coding / Programming, Reading, Fitness",No shared classes,Society / club,No,0.609375,real,Moderate
,,,,,4.0,,,,,0.0,4.0,,,,,0.234375,real,Low
,,,,,4.0,,,,,0.0,4.0,,,,,0.234375,real,Low
ANON-2023629,Data Science,KPK,4th Year,Other,4.0,37.5,62.5,Yes,"Microsoft Club Giki, ACM",0.5,5.0,"Hiking, Reading, Art, Cooking, Football",I already interact with diverse groups — no barrier,Shared classes,"Yes, definitely",0.765625,synthetic,Moderate
ANON-2024558,Computer Science (CS),Punjab,1st Year (Freshie),Other,4.0,12.5,37.5,Yes,"GDSC, Microsoft Club Giki",1.5,3.0,"Hiking, Music, Cooking, Art",No shared classes,Random / organic,Maybe,0.453125,synthetic,Low
ANON-2024734,Software Engineering,KPK,2nd Year,Urdu,4.0,37.5,12.5,Yes,Science Society,0.5,4.0,"Coding / Programming, Fitness, Hiking",I already interact with diverse groups — no barrier,Society / club,Maybe,0.453125,synthetic,Low
ANON-2023521,Data Science,Punjab,3rd Year,Punjabi,4.0,87.5,62.5,Yes,"Project Topi, GDSC",0.5,5.0,"Cooking, Travelling, Coding / Programming",No shared classes,Shared classes,"Yes, definitely",0.953125,synthetic,High
ANON-2024609,Data Science,KPK,3rd Year,Urdu,4.0,87.5,12.5,Yes,"ACM, Science Society",1.5,4.0,"Cooking, Coding / Programming, Fitness",I already interact with diverse groups — no barrier,Shared classes,No,0.890625,synthetic,Moderate
ANON-2024249,Computer Science (CS),KPK,2nd Year,Urdu,4.0,37.5,62.5,Yes,Microsoft Club Giki,0.5,3.0,"Cooking, Hiking",I already interact with diverse groups — no barrier,Hostel wing / roommate,"Yes, definitely",0.765625,synthetic,Moderate
